building_name,city,street,house_number,unit_label,floor,starts_on,ends_on,parking_spot,storage_unit,person_name,phone,role
מעונות הדר,תל אביב,ארלוזורוב,45,3,1,2026-03-01,2027-02-28,P-14,M-7,דנה כהן,050-123-4567,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,3,1,2026-03-01,2027-02-28,P-14,M-7,דנה כהן,050-123-4567,billed
מעונות הדר,תל אביב,ארלוזורוב,45,3,1,2026-03-01,2027-02-28,P-14,M-7,יעל כהן,0521234567,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,10,3,2025-04-15,,,,אבי מזרחי,+972541234567,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,10,3,2025-04-15,,,,אבי מזרחי,+972541234567,billed
מעונות הדר,תל אביב,ארלוזורוב,45,קרקע,0,2026-01-01,2026-12-31,,M-2,רות לוי,053-765-4321,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,קרקע,0,2026-01-01,2026-12-31,,M-2,רות לוי,053-765-4321,billed
מעונות הדר,תל אביב,ארלוזורוב,45,7,2,2025-11-01,2026-10-31,P-6,,תמר בן-דוד,050-444-2211,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,7,2,2025-11-01,2026-10-31,P-6,,תמר בן-דוד,050-444-2211,billed
מעונות הדר,תל אביב,ארלוזורוב,45,12,4,2024-07-01,2026-06-30,P-8,M-9,יוסי אברהם,054-322-1100,tenant
מעונות הדר,תל אביב,ארלוזורוב,45,12,4,2024-07-01,2026-06-30,P-8,M-9,יוסי אברהם,054-322-1100,billed
בית שקד,רמת גן,ביאליק,12א,5,2,2026-08-01,2027-07-31,P-3,,נועה פרידמן,055-888-7777,tenant
בית שקד,רמת גן,ביאליק,12א,5,2,2026-08-01,2027-07-31,P-3,,נועה פרידמן,055-888-7777,billed
בית שקד,רמת גן,ביאליק,12א,5,2,2026-08-01,2027-07-31,P-3,,משה פרידמן,052-999-1234,guarantor
בית שקד,רמת גן,ביאליק,12א,8,4,2024-11-01,,P-9,M-11,משה פרידמן,+972529991234,tenant
בית שקד,רמת גן,ביאליק,12א,8,4,2024-11-01,,P-9,M-11,משה פרידמן,+972529991234,billed
בית שקד,רמת גן,ביאליק,12א,2,1,2026-02-15,2027-02-14,,M-4,אורי שמש,058-610-2030,tenant
בית שקד,רמת גן,ביאליק,12א,2,1,2026-02-15,2027-02-14,,M-4,מיכל שמש,050-770-8899,tenant
בית שקד,רמת גן,ביאליק,12א,2,1,2026-02-15,2027-02-14,,M-4,מיכל שמש,050-770-8899,billed
גני אלון,חיפה,הנשיא,8,1,0,2025-09-01,2027-08-31,P-1,M-1,לאה גולן,053-201-4455,tenant
גני אלון,חיפה,הנשיא,8,1,0,2025-09-01,2027-08-31,P-1,M-1,לאה גולן,053-201-4455,billed
גני אלון,חיפה,הנשיא,8,1,0,2025-09-01,2027-08-31,P-1,M-1,דוד גולן,054-663-9182,guarantor
גני אלון,חיפה,הנשיא,8,4,1,2026-05-01,,P-4,,סמי חדד,052-318-7744,tenant
גני אלון,חיפה,הנשיא,8,4,1,2026-05-01,,P-4,,סמי חדד,052-318-7744,billed
