building_name,city,street,house_number,unit_label,floor,starts_on,ends_on,parking_spot,storage_unit,person_name,phone,role
מעונות הדר,תל אביב,הרצל,12א,3,1,2026-09-01,2027-08-31,P-14,M-7,דנה כהן,050-123-4567,tenant
מעונות הדר,תל אביב,הרצל,12א,3,1,2026-09-01,2027-08-31,P-14,M-7,דנה כהן,050-123-4567,billed
מעונות הדר,תל אביב,הרצל,12א,3,1,2026-09-01,2027-08-31,P-14,M-7,רון כהן,+972 52 987 6543,tenant
מעונות הדר,תל אביב,הרצל,12א,3,1,2026-09-01,2027-08-31,P-14,M-7,אבי כהן,972541234567,guarantor
מעונות הדר,תל אביב,הרצל,12א,4,1,2026-07-15,,,,יוסי לוי,0537654321,tenant
מעונות הדר,תל אביב,הרצל,12א,04,1,2026-07-15,,,,מרים לוי,03-1234567,tenant
מעונות הדר,תל אביב,הרצל,12א,5,2,2026-02-30,,,,שגיא תאריך,0501111111,tenant
מעונות הדר,תל אביב,הרצל,12א,6,2,2026-09-01,,,,שגיא תפקיד,0502222222,landlord
מעונות הדר,תל אביב,הרצל,12א,7,2,2026-09-01,,,,שגיא טלפון,1800123456,tenant
מעונות הדר,תל אביב,הרצל,12א,8,2,2026-09-01,,,,,0503333333,tenant
מעונות הדר,תל אביב,הרצל,12א,9,2,2026-10-01,2026-09-30,,,שגיא טווח,0504444444,tenant
